keyword,name,location,rating
Hotel,"FOUND Hotel, San Francisco","{'lat': 37.78485999999999, 'lng': -122.4093059}",3.9
Hotel,Union Hotel,"{'lat': 37.7645084, 'lng': -122.4197985}",3.4
KFC,KFC,"{'lat': 37.7829915, 'lng': -122.418993}",3
KFC,Taco Bell / KFC,"{'lat': 37.7830063, 'lng': -122.4189844}",3.5
Kindergarten,Montessori House of Children,"{'lat': 37.7852937, 'lng': -122.4237302}",5
Kindergarten,Tenderloin Community Elementary School,"{'lat': 37.7819554, 'lng': -122.4199247}",4
Kindergarten,Mission Montessori,"{'lat': 37.7768199, 'lng': -122.4187205}",5
Kindergarten,John Muir Elementary School,"{'lat': 37.7739963, 'lng': -122.4289812}",4.6
Kindergarten,Montessori School of San Francisco,"{'lat': 37.7814492, 'lng': -122.4332162}",4.8
Kindergarten,San Francisco Friends School,"{'lat': 37.7690673, 'lng': -122.4227169}",4.5
Kindergarten,Phoebe Hearst Preschool,"{'lat': 37.7827475, 'lng': -122.4279366}",5
Kindergarten,Presidio Knolls School,"{'lat': 37.7731613, 'lng': -122.4135169}",4.4
Kindergarten,C5 Children's School,"{'lat': 37.781089, 'lng': -122.418101}",4.4
Kindergarten,John Muir Prekindergarten,"{'lat': 37.7740647, 'lng': -122.4289884}",0
Kindergarten,Bessie Carmichael Pre K,"{'lat': 37.7765527, 'lng': -122.4066754}",4.5
Kindergarten,Little Munchkins,"{'lat': 37.7722608, 'lng': -122.4285649}",5
Kindergarten,Mission Dolores Academy,"{'lat': 37.7641912, 'lng': -122.4283947}",4.1
Kindergarten,Bessie Carmichael Elementary School,"{'lat': 37.7761264, 'lng': -122.4065104}",4.3
Kindergarten,San Francisco Schoolhouse,"{'lat': 37.7749187, 'lng': -122.4301833}",0
Kindergarten,L'Academy Language Immersion Preschool & Infant CPMC,"{'lat': 37.7858913, 'lng': -122.4206409}",4.6
Kindergarten,SF City Academy,"{'lat': 37.7834948, 'lng': -122.4123974}",4.2
Kindergarten,Children's Day School,"{'lat': 37.7641934, 'lng': -122.4252815}",0
Kindergarten,Raphael Weill Child Development Center,"{'lat': 37.78304610000001, 'lng': -122.4295204}",2
Kindergarten,L'Academy Mandarin Immersion Preschool San Francisco SOMA,"{'lat': 37.774302, 'lng': -122.4094776}",5
Laundry,Rinse - Laundry & Dry Cleaning Delivery,"{'lat': 37.7700699, 'lng': -122.407618}",4.3
Laundry,The Hayes Laundry,"{'lat': 37.7761393, 'lng': -122.4298338}",4.2
Laundry,Ocean Blue Laundry & Sandwich Shop,"{'lat': 37.7719913, 'lng': -122.4227421}",4.2
Laundry,First Coin Laundry,"{'lat': 37.7837286, 'lng': -122.4134912}",4.1
Laundry,Jack's Laundry,"{'lat': 37.765991, 'lng': -122.4334447}",4.8
Laundry,WASH on 14th Street,"{'lat': 37.7676017, 'lng': -122.4297359}",3.5
Laundry,John's Wash & Dry,"{'lat': 37.768299, 'lng': -122.4182896}",3.3
Laundry,Eighth Street Laundry,"{'lat': 37.77663, 'lng': -122.4123394}",3.2
Laundry,Haight To Wash,"{'lat': 37.7721326, 'lng': -122.4310984}",3.7
Laundry,WashClub Bay Area,"{'lat': 37.7827618, 'lng': -122.4322245}",4.3
Laundry,Angkor Laundromat,"{'lat': 37.7836448, 'lng': -122.4133504}",4.5
Laundry,Carlin's Laundromat,"{'lat': 37.76823090000001, 'lng': -122.4223953}",4.1
Laundry,Rainbow Coin Laundromat,"{'lat': 37.7838206, 'lng': -122.4158448}",3.9
Laundry,14th & So Van Ness Laundry,"{'lat': 37.7682979, 'lng': -122.4182954}",1
Laundry,Pete's Launderette & Cleaners,"{'lat': 37.7777272, 'lng': -122.4247127}",4.5
Laundry,Neighbors Laundromat,"{'lat': 37.7749417, 'lng': -122.4274774}",4.5
Laundry,Dair's Speed Wash,"{'lat': 37.7843457, 'lng': -122.4162292}",3.9
Laundry,Wishy Washy Laundromat,"{'lat': 37.7729174, 'lng': -122.4324645}",3.5
Laundry,The TL Laundromat & Wash and Fold (NO CAFE),"{'lat': 37.7856589, 'lng': -122.4133677}",4.3
Laundry,Fillmore Laundromat,"{'lat': 37.7826537, 'lng': -122.4321887}",3.7
Library,Main Library - San Francisco Public Library,"{'lat': 37.7790819, 'lng': -122.4157961}",4.5
